id,nombre,tipo_1,tipo_2,altura,peso,HP,Ataque,Defensa,Ataque Especial,Defensa Especial,Velocidad,movimientos,habilidades,imagen
1,bulbasaur,grass,poison,0.7,6.9,45,49,49,65,65,45,86,"['overgrow', 'chlorophyll']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png
2,ivysaur,grass,poison,1.0,13.0,60,62,63,80,80,60,83,"['overgrow', 'chlorophyll']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png
3,venusaur,grass,poison,2.0,100.0,80,82,83,100,100,80,96,"['overgrow', 'chlorophyll']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png
4,charmander,fire,,0.6,8.5,39,52,43,60,50,65,105,"['blaze', 'solar-power']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png
5,charmeleon,fire,,1.1,19.0,58,64,58,80,65,80,103,"['blaze', 'solar-power']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png
6,charizard,fire,flying,1.7,90.5,78,84,78,109,85,100,131,"['blaze', 'solar-power']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png
7,squirtle,water,,0.5,9.0,44,48,65,50,64,43,106,"['torrent', 'rain-dish']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png
8,wartortle,water,,1.0,22.5,59,63,80,65,80,58,101,"['torrent', 'rain-dish']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png
9,blastoise,water,,1.6,85.5,79,83,100,85,105,78,120,"['torrent', 'rain-dish']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png
10,caterpie,bug,,0.3,2.9,45,30,35,20,20,45,5,"['shield-dust', 'run-away']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png
11,metapod,bug,,0.7,9.9,50,20,55,25,25,30,5,['shed-skin'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png
12,butterfree,bug,flying,1.1,32.0,60,45,50,90,80,70,86,"['compound-eyes', 'tinted-lens']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png
13,weedle,bug,poison,0.3,3.2,40,35,30,20,20,50,4,"['shield-dust', 'run-away']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png
14,kakuna,bug,poison,0.6,10.0,45,25,50,25,25,35,5,['shed-skin'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png
15,beedrill,bug,poison,1.0,29.5,65,90,40,45,80,75,82,"['swarm', 'sniper']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png
16,pidgey,normal,flying,0.3,1.8,40,45,40,35,35,56,64,"['keen-eye', 'tangled-feet', 'big-pecks']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png
17,pidgeotto,normal,flying,1.1,30.0,63,60,55,50,50,71,60,"['keen-eye', 'tangled-feet', 'big-pecks']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png
18,pidgeot,normal,flying,1.5,39.5,83,80,75,70,70,101,63,"['keen-eye', 'tangled-feet', 'big-pecks']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png
19,rattata,normal,,0.3,3.5,30,56,35,25,35,72,82,"['run-away', 'guts', 'hustle']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png
20,raticate,normal,,0.7,18.5,55,81,60,50,70,97,84,"['run-away', 'guts', 'hustle']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png
21,spearow,normal,flying,0.3,2.0,40,60,30,31,31,70,69,"['keen-eye', 'sniper']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png
22,fearow,normal,flying,1.2,38.0,65,90,65,61,61,100,69,"['keen-eye', 'sniper']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png
23,ekans,poison,,2.0,6.9,35,60,44,40,54,55,95,"['intimidate', 'shed-skin', 'unnerve']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png
24,arbok,poison,,3.5,65.0,60,95,69,65,79,80,101,"['intimidate', 'shed-skin', 'unnerve']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png
25,pikachu,electric,,0.4,6.0,35,55,40,50,50,90,105,"['static', 'lightning-rod']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png
26,raichu,electric,,0.8,30.0,60,90,55,90,80,110,109,"['static', 'lightning-rod']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png
27,sandshrew,ground,,0.6,12.0,50,75,85,20,30,40,99,"['sand-veil', 'sand-rush']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png
28,sandslash,ground,,1.0,29.5,75,100,110,45,55,65,103,"['sand-veil', 'sand-rush']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png
