id,nombre,tipo_1,tipo_2,altura,peso,HP,Ataque,Defensa,Ataque Especial,Defensa Especial,Velocidad,movimientos,habilidades,imagen
152,chikorita,grass,,0.9,6.4,45,49,65,49,65,45,76,"['overgrow', 'leaf-guard']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/152.png
153,bayleef,grass,,1.2,15.8,60,62,80,63,80,60,78,"['overgrow', 'leaf-guard']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/153.png
154,meganium,grass,,1.8,100.5,80,82,100,83,100,80,92,"['overgrow', 'leaf-guard']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/154.png
155,cyndaquil,fire,,0.5,7.9,39,52,43,60,50,65,77,"['blaze', 'flash-fire']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/155.png
156,quilava,fire,,0.9,19.0,58,64,58,80,65,80,77,"['blaze', 'flash-fire']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/156.png
157,typhlosion,fire,,1.7,79.5,78,84,78,109,85,100,111,"['blaze', 'flash-fire']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/157.png
158,totodile,water,,0.6,9.5,50,65,64,44,48,43,98,"['torrent', 'sheer-force']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/158.png
159,croconaw,water,,1.1,25.0,65,80,80,59,63,58,100,"['torrent', 'sheer-force']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/159.png
160,feraligatr,water,,2.3,88.8,85,105,100,79,83,78,117,"['torrent', 'sheer-force']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/160.png
161,sentret,normal,,0.8,6.0,35,46,34,35,45,20,100,"['run-away', 'keen-eye', 'frisk']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/161.png
162,furret,normal,,1.8,32.5,85,76,64,45,55,90,105,"['run-away', 'keen-eye', 'frisk']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/162.png
163,hoothoot,normal,flying,0.7,21.2,60,30,30,36,56,50,92,"['insomnia', 'keen-eye', 'tinted-lens']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/163.png
164,noctowl,normal,flying,1.6,40.8,100,50,50,86,96,70,96,"['insomnia', 'keen-eye', 'tinted-lens']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/164.png
165,ledyba,bug,flying,1.0,10.8,40,20,30,40,80,55,73,"['swarm', 'early-bird', 'rattled']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/165.png
166,ledian,bug,flying,1.4,35.6,55,35,50,55,110,85,73,"['swarm', 'early-bird', 'iron-fist']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/166.png
167,spinarak,bug,poison,0.5,8.5,40,60,40,40,40,30,80,"['swarm', 'insomnia', 'sniper']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/167.png
168,ariados,bug,poison,1.1,33.5,70,90,70,60,70,40,85,"['swarm', 'insomnia', 'sniper']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/168.png
169,crobat,poison,flying,1.8,75.0,85,90,80,70,80,130,81,"['inner-focus', 'infiltrator']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/169.png
170,chinchou,water,electric,0.5,12.0,75,38,38,56,56,67,77,"['volt-absorb', 'illuminate', 'water-absorb']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/170.png
171,lanturn,water,electric,1.2,22.5,125,58,58,76,76,67,84,"['volt-absorb', 'illuminate', 'water-absorb']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/171.png
172,pichu,electric,,0.3,2.0,20,40,15,35,35,60,87,"['static', 'lightning-rod']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/172.png
173,cleffa,fairy,,0.3,3.0,50,25,28,45,55,15,109,"['cute-charm', 'magic-guard', 'friend-guard']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/173.png
