id,nombre,tipo_1,tipo_2,altura,peso,HP,Ataque,Defensa,Ataque Especial,Defensa Especial,Velocidad,movimientos,habilidades,imagen
906,sprigatito,grass,,0.4,4.1,40,61,54,45,45,65,46,"['overgrow', 'protean']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/906.png
907,floragato,grass,,0.9,12.2,61,80,63,60,63,83,47,"['overgrow', 'protean']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/907.png
908,meowscarada,grass,dark,1.5,31.2,76,110,70,81,70,123,72,"['overgrow', 'protean']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/908.png
909,fuecoco,fire,,0.4,9.8,67,45,59,63,40,36,45,"['blaze', 'unaware']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/909.png
910,crocalor,fire,,1.0,30.7,81,55,78,90,58,49,43,"['blaze', 'unaware']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/910.png
911,skeledirge,fire,ghost,1.6,326.5,104,75,100,110,75,66,61,"['blaze', 'unaware']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/911.png
912,quaxly,water,,0.5,6.1,55,65,45,50,45,50,39,"['torrent', 'moxie']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/912.png
913,quaxwell,water,,1.2,21.5,70,85,65,65,60,65,40,"['torrent', 'moxie']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/913.png
914,quaquaval,water,fighting,1.8,61.9,85,120,80,85,75,85,65,"['torrent', 'moxie']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/914.png
915,lechonk,normal,,0.5,10.2,54,45,40,35,45,35,42,"['aroma-veil', 'gluttony', 'thick-fat']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/915.png
916,oinkologne-male,normal,,1.0,120.0,110,100,75,59,80,65,47,"['lingering-aroma', 'gluttony', 'thick-fat']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/916.png
917,tarountula,bug,,0.3,4.0,35,41,45,29,40,20,44,"['insomnia', 'stakeout']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/917.png
918,spidops,bug,,1.0,16.5,60,79,92,52,86,35,55,"['insomnia', 'stakeout']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/918.png
919,nymble,bug,,0.2,1.0,33,46,40,21,25,45,31,"['swarm', 'tinted-lens']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/919.png
