id,nombre,tipo_1,tipo_2,altura,peso,HP,Ataque,Defensa,Ataque Especial,Defensa Especial,Velocidad,movimientos,habilidades,imagen
650,chespin,grass,,0.4,9.0,56,61,65,48,45,38,96,"['overgrow', 'bulletproof']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/650.png
651,quilladin,grass,,0.7,29.0,61,78,95,56,58,57,97,"['overgrow', 'bulletproof']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/651.png
652,chesnaught,grass,fighting,1.6,90.0,88,107,122,74,75,64,117,"['overgrow', 'bulletproof']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/652.png
653,fennekin,fire,,0.4,9.4,40,45,40,62,60,60,74,"['blaze', 'magician']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/653.png
654,braixen,fire,,1.0,14.5,59,59,58,90,70,73,85,"['blaze', 'magician']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/654.png
655,delphox,fire,psychic,1.5,39.0,75,69,72,114,100,104,106,"['blaze', 'magician']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/655.png
656,froakie,water,,0.3,7.0,41,56,40,62,44,71,77,"['torrent', 'protean']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/656.png
657,frogadier,water,,0.6,10.9,54,63,52,83,56,97,77,"['torrent', 'protean']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/657.png
658,greninja,water,dark,1.5,40.0,72,95,67,103,71,122,93,"['torrent', 'protean']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/658.png
659,bunnelby,normal,,0.4,5.0,38,36,38,32,36,57,65,"['pickup', 'cheek-pouch', 'huge-power']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/659.png
660,diggersby,normal,ground,1.0,42.4,85,56,77,50,77,78,88,"['pickup', 'cheek-pouch', 'huge-power']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/660.png
