id,nombre,tipo_1,tipo_2,altura,peso,HP,Ataque,Defensa,Ataque Especial,Defensa Especial,Velocidad,movimientos,habilidades,imagen
810,grookey,grass,,0.3,5.0,50,65,50,40,40,65,58,"['overgrow', 'grassy-surge']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/810.png
811,thwackey,grass,,0.7,14.0,70,85,70,55,60,80,60,"['overgrow', 'grassy-surge']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/811.png
812,rillaboom,grass,,2.1,90.0,100,125,90,60,70,85,83,"['overgrow', 'grassy-surge']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/812.png
813,scorbunny,fire,,0.3,4.5,50,71,40,40,40,69,56,"['blaze', 'libero']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/813.png
814,raboot,fire,,0.6,9.0,65,86,60,55,60,94,59,"['blaze', 'libero']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/814.png
815,cinderace,fire,,1.4,33.0,80,116,75,65,75,119,78,"['blaze', 'libero']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/815.png
816,sobble,water,,0.3,4.0,50,40,40,70,40,70,46,"['torrent', 'sniper']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/816.png
817,drizzile,water,,0.7,11.5,65,60,55,95,55,90,47,"['torrent', 'sniper']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/817.png
818,inteleon,water,,1.9,45.2,70,85,65,125,65,120,74,"['torrent', 'sniper']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/818.png
819,skwovet,normal,,0.3,2.5,70,55,55,35,35,25,47,"['cheek-pouch', 'gluttony']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/819.png
820,greedent,normal,,0.6,6.0,120,95,95,55,75,20,60,"['cheek-pouch', 'gluttony']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/820.png
821,rookidee,flying,,0.2,1.8,38,47,35,33,35,57,47,"['keen-eye', 'unnerve', 'big-pecks']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/821.png
822,corvisquire,flying,,0.8,16.0,68,67,55,43,55,77,44,"['keen-eye', 'unnerve', 'big-pecks']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/822.png
823,corviknight,flying,steel,2.2,75.0,98,87,105,53,85,67,68,"['pressure', 'unnerve', 'mirror-armor']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/823.png
824,blipbug,bug,,0.4,8.0,25,20,20,25,45,45,5,"['swarm', 'compound-eyes', 'telepathy']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/824.png
825,dottler,bug,psychic,0.4,19.5,50,35,80,50,90,30,40,"['swarm', 'compound-eyes', 'telepathy']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/825.png
826,orbeetle,bug,psychic,0.4,40.8,60,45,110,80,120,90,53,"['swarm', 'frisk', 'telepathy']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/826.png
827,nickit,dark,,0.6,8.9,40,28,28,47,52,50,35,"['run-away', 'unburden', 'stakeout']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/827.png
828,thievul,dark,,1.2,19.9,70,58,58,87,92,90,46,"['run-away', 'unburden', 'stakeout']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/828.png
829,gossifleur,grass,,0.4,2.2,40,40,60,40,60,10,38,"['cotton-down', 'regenerator', 'effect-spore']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/829.png
830,eldegoss,grass,,0.5,2.5,60,50,90,80,120,60,38,"['cotton-down', 'regenerator', 'effect-spore']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/830.png
831,wooloo,normal,,0.6,6.0,42,40,55,40,45,48,30,"['fluffy', 'run-away', 'bulletproof']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/831.png
832,dubwool,normal,,1.3,43.0,72,80,100,60,90,88,38,"['fluffy', 'steadfast', 'bulletproof']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/832.png
833,chewtle,water,,0.3,8.5,50,64,50,38,38,44,43,"['strong-jaw', 'shell-armor', 'swift-swim']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/833.png
834,drednaw,water,rock,1.0,115.5,90,115,90,48,68,74,72,"['strong-jaw', 'shell-armor', 'swift-swim']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/834.png
835,yamper,electric,,0.3,13.5,59,45,50,40,50,26,38,"['ball-fetch', 'rattled']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/835.png
836,boltund,electric,,1.0,34.0,69,90,60,90,60,121,43,"['strong-jaw', 'competitive']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/836.png
837,rolycoly,rock,,0.3,12.0,30,40,50,40,50,30,43,"['steam-engine', 'heatproof', 'flash-fire']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/837.png
838,carkol,rock,fire,1.1,78.0,80,60,90,60,70,50,55,"['steam-engine', 'flame-body', 'flash-fire']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/838.png
839,coalossal,rock,fire,2.8,310.5,110,80,120,80,90,30,63,"['steam-engine', 'flame-body', 'flash-fire']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/839.png
840,applin,grass,dragon,0.2,0.5,40,40,80,40,40,20,11,"['ripen', 'gluttony', 'bulletproof']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/840.png
841,flapple,grass,dragon,0.3,1.0,70,110,80,95,60,70,52,"['ripen', 'gluttony', 'hustle']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/841.png
842,appletun,grass,dragon,0.4,13.0,110,85,80,100,80,30,60,"['ripen', 'gluttony', 'thick-fat']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/842.png
843,silicobra,ground,,2.2,7.6,52,57,75,35,50,46,43,"['sand-spit', 'shed-skin', 'sand-veil']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/843.png
844,sandaconda,ground,,3.8,65.5,72,107,125,65,70,71,53,"['sand-spit', 'shed-skin', 'sand-veil']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/844.png
845,cramorant,flying,water,0.8,18.0,70,85,55,85,95,85,61,['gulp-missile'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/845.png
846,arrokuda,water,,0.5,1.0,41,63,40,40,30,66,46,"['swift-swim', 'propeller-tail']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/846.png
847,barraskewda,water,,1.3,30.0,61,123,60,60,50,136,47,"['swift-swim', 'propeller-tail']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/847.png
848,toxel,electric,poison,0.4,11.0,40,38,35,54,35,40,21,"['rattled', 'static', 'klutz']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/848.png
849,toxtricity-amped,electric,poison,1.6,40.0,75,98,70,114,70,75,80,"['punk-rock', 'plus', 'technician']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/849.png
850,sizzlipede,fire,bug,0.7,1.0,50,65,45,50,50,45,37,"['flash-fire', 'white-smoke', 'flame-body']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/850.png
851,centiskorch,fire,bug,3.0,120.0,100,115,65,90,90,65,46,"['flash-fire', 'white-smoke', 'flame-body']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/851.png
852,clobbopus,fighting,,0.6,4.0,50,68,60,50,50,32,42,"['limber', 'technician']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/852.png
853,grapploct,fighting,,1.6,39.0,80,118,90,70,80,42,50,"['limber', 'technician']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/853.png
854,sinistea,ghost,,0.1,0.2,40,45,45,74,54,50,46,"['weak-armor', 'cursed-body']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/854.png
855,polteageist,ghost,,0.2,0.4,60,65,65,134,114,70,54,"['weak-armor', 'cursed-body']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/855.png
856,hatenna,psychic,,0.4,3.4,42,30,45,56,53,39,51,"['healer', 'anticipation', 'magic-bounce']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/856.png
857,hattrem,psychic,,0.6,4.8,57,40,65,86,73,49,49,"['healer', 'anticipation', 'magic-bounce']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/857.png
858,hatterene,psychic,fairy,2.1,5.1,57,90,95,136,103,29,66,"['healer', 'anticipation', 'magic-bounce']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/858.png
859,impidimp,dark,fairy,0.4,5.5,45,45,30,55,40,50,50,"['prankster', 'frisk', 'pickpocket']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/859.png
860,morgrem,dark,fairy,0.8,12.5,65,60,45,75,55,70,52,"['prankster', 'frisk', 'pickpocket']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/860.png
