id,nombre,tipo_1,tipo_2,altura,peso,HP,Ataque,Defensa,Ataque Especial,Defensa Especial,Velocidad,movimientos,habilidades,imagen
722,rowlet,grass,flying,0.3,1.5,68,55,55,50,50,42,76,"['overgrow', 'long-reach']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/722.png
723,dartrix,grass,flying,0.7,16.0,78,75,75,70,70,52,76,"['overgrow', 'long-reach']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/723.png
724,decidueye,grass,ghost,1.6,36.6,78,107,75,100,100,70,108,"['overgrow', 'long-reach']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/724.png
725,litten,fire,,0.4,4.3,45,65,40,60,40,70,64,"['blaze', 'intimidate']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/725.png
726,torracat,fire,,0.7,25.0,65,85,50,80,50,90,65,"['blaze', 'intimidate']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/726.png
727,incineroar,fire,dark,1.8,83.0,95,115,90,80,90,60,106,"['blaze', 'intimidate']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/727.png
728,popplio,water,,0.4,7.5,50,54,54,66,56,40,67,"['torrent', 'liquid-voice']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/728.png
729,brionne,water,,0.6,17.5,60,69,69,91,81,50,67,"['torrent', 'liquid-voice']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/729.png
730,primarina,water,fairy,1.8,44.0,80,74,74,126,116,60,88,"['torrent', 'liquid-voice']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/730.png
731,pikipek,normal,flying,0.3,1.2,35,75,30,30,30,65,58,"['keen-eye', 'skill-link', 'pickup']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/731.png
732,trumbeak,normal,flying,0.6,14.8,55,85,50,40,50,75,59,"['keen-eye', 'skill-link', 'pickup']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/732.png
733,toucannon,normal,flying,1.1,26.0,80,120,75,75,75,60,71,"['keen-eye', 'skill-link', 'sheer-force']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/733.png
734,yungoos,normal,,0.4,6.0,48,70,30,30,30,45,66,"['stakeout', 'strong-jaw', 'adaptability']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/734.png
735,gumshoos,normal,,0.7,14.2,88,110,60,55,60,45,80,"['stakeout', 'strong-jaw', 'adaptability']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/735.png
736,grubbin,bug,,0.4,4.4,47,62,45,55,45,46,52,['swarm'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/736.png
737,charjabug,bug,electric,0.5,10.5,57,82,95,55,75,36,56,['battery'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/737.png
738,vikavolt,bug,electric,1.5,45.0,77,70,90,145,75,43,75,['levitate'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/738.png
739,crabrawler,fighting,,0.6,7.0,47,82,57,42,47,63,72,"['hyper-cutter', 'iron-fist', 'anger-point']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/739.png
740,crabominable,fighting,ice,1.7,180.0,97,132,77,62,67,43,84,"['hyper-cutter', 'iron-fist', 'anger-point']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/740.png
741,oricorio-baile,fire,flying,0.6,3.4,75,70,70,98,70,93,65,['dancer'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/741.png
742,cutiefly,bug,fairy,0.1,0.2,40,45,40,55,40,84,78,"['honey-gather', 'shield-dust', 'sweet-veil']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/742.png
