id,nombre,tipo_1,tipo_2,altura,peso,HP,Ataque,Defensa,Ataque Especial,Defensa Especial,Velocidad,movimientos,habilidades,imagen
252,treecko,grass,,0.5,5.0,40,45,35,65,55,70,98,"['overgrow', 'unburden']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/252.png
253,grovyle,grass,,0.9,21.6,50,65,45,85,65,95,100,"['overgrow', 'unburden']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/253.png
254,sceptile,grass,,1.7,52.2,70,85,65,105,85,120,121,"['overgrow', 'unburden']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/254.png
255,torchic,fire,,0.4,2.5,45,60,40,70,50,45,82,"['blaze', 'speed-boost']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/255.png
256,combusken,fire,fighting,0.9,19.5,60,85,60,85,60,55,101,"['blaze', 'speed-boost']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/256.png
257,blaziken,fire,fighting,1.9,52.0,80,120,70,110,70,80,122,"['blaze', 'speed-boost']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/257.png
258,mudkip,water,,0.4,7.6,50,70,50,50,50,40,85,"['torrent', 'damp']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/258.png
259,marshtomp,water,ground,0.7,28.0,70,85,70,60,70,50,96,"['torrent', 'damp']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/259.png
260,swampert,water,ground,1.5,81.9,100,110,90,85,90,60,116,"['torrent', 'damp']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/260.png
261,poochyena,dark,,0.5,13.6,35,55,35,30,30,35,76,"['run-away', 'quick-feet', 'rattled']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/261.png
262,mightyena,dark,,1.0,37.0,70,90,70,60,60,70,80,"['intimidate', 'quick-feet', 'moxie']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/262.png
263,zigzagoon,normal,,0.4,17.5,38,30,41,30,41,60,81,"['pickup', 'gluttony', 'quick-feet']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/263.png
264,linoone,normal,,0.5,32.5,78,70,61,50,61,100,88,"['pickup', 'gluttony', 'quick-feet']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/264.png
265,wurmple,bug,,0.3,3.6,45,45,35,20,30,20,6,"['shield-dust', 'run-away']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/265.png
266,silcoon,bug,,0.6,10.0,50,35,55,25,25,15,7,['shed-skin'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/266.png
267,beautifly,bug,flying,1.0,28.4,60,70,50,100,50,65,66,"['swarm', 'rivalry']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/267.png
268,cascoon,bug,,0.7,11.5,50,35,55,25,25,15,7,['shed-skin'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/268.png
269,dustox,bug,poison,1.2,31.6,60,50,70,50,90,65,66,"['shield-dust', 'compound-eyes']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/269.png
270,lotad,water,grass,0.5,2.6,40,30,30,40,50,30,72,"['swift-swim', 'rain-dish', 'own-tempo']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/270.png
